"Plot Title: 21411022"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 21411022, SEN S/N: 21411022)","Temp, °C (LGR S/N: 21411022, SEN S/N: 21411022)","Coupler Detached (LGR S/N: 21411022)","Coupler Attached (LGR S/N: 21411022)","Host Connected (LGR S/N: 21411022)","End Of File (LGR S/N: 21411022)"
146,08/23/2022 06:00:00 AM,65.031,4.623,,,,
147,08/23/2022 07:00:00 AM,65.023,5.244,,,,
148,08/23/2022 08:00:00 AM,65.007,6.268,,,,
149,08/23/2022 09:00:00 AM,64.989,7.280,,,,
150,08/23/2022 10:00:00 AM,64.997,8.082,,,,
151,08/23/2022 11:00:00 AM,64.959,9.176,,,,
152,08/23/2022 12:00:00 PM,64.983,10.161,,,,
153,08/23/2022 01:00:00 PM,65.036,9.768,,,,
154,08/23/2022 02:00:00 PM,65.046,10.357,,,,
155,08/23/2022 03:00:00 PM,65.060,10.455,,,,
156,08/23/2022 04:00:00 PM,65.087,10.259,,,,
157,08/23/2022 05:00:00 PM,65.115,9.472,,,,
158,08/23/2022 06:00:00 PM,65.119,8.978,,,,
159,08/23/2022 07:00:00 PM,65.153,8.382,,,,
160,08/23/2022 08:00:00 PM,65.131,7.782,,,,
161,08/23/2022 09:00:00 PM,65.112,7.280,,,,
162,08/23/2022 10:00:00 PM,65.093,6.775,,,,
163,08/23/2022 11:00:00 PM,65.089,6.370,,,,
164,08/24/2022 12:00:00 AM,65.062,5.962,,,,
165,08/24/2022 01:00:00 AM,65.072,5.655,,,,
166,08/24/2022 02:00:00 AM,65.097,5.450,,,,
167,08/24/2022 03:00:00 AM,65.116,5.347,,,,
168,08/24/2022 04:00:00 AM,65.094,5.655,,,,
169,08/24/2022 05:00:00 AM,65.076,5.757,,,,
170,08/24/2022 06:00:00 AM,65.085,6.573,,,,
171,08/24/2022 07:00:00 AM,65.071,7.381,,,,
172,08/24/2022 08:00:00 AM,65.064,8.680,,,,
173,08/24/2022 09:00:00 AM,65.010,9.965,,,,
174,08/24/2022 10:00:00 AM,65.024,10.357,,,,
175,08/24/2022 11:00:00 AM,65.039,10.161,,,,
176,08/24/2022 12:00:00 PM,65.017,9.866,,,,
177,08/24/2022 01:00:00 PM,65.041,9.275,,,,
178,08/24/2022 02:00:00 PM,65.052,9.275,,,,
179,08/24/2022 03:00:00 PM,65.071,8.879,,,,
180,08/24/2022 04:00:00 PM,65.090,8.182,,,,
181,08/24/2022 05:00:00 PM,65.105,7.983,,,,
182,08/24/2022 06:00:00 PM,65.116,7.983,,,,
183,08/24/2022 07:00:00 PM,65.083,7.983,,,,
184,08/24/2022 08:00:00 PM,65.075,7.782,,,,
185,08/24/2022 09:00:00 PM,65.034,7.582,,,,
186,08/24/2022 10:00:00 PM,65.008,7.179,,,,
187,08/24/2022 11:00:00 PM,64.966,6.370,,,,
188,08/25/2022 12:00:00 AM,64.996,6.268,,,,
189,08/25/2022 01:00:00 AM,64.980,5.860,,,,
190,08/25/2022 02:00:00 AM,64.957,5.552,,,,
191,08/25/2022 03:00:00 AM,64.938,5.347,,,,
192,08/25/2022 04:00:00 AM,64.941,5.141,,,,
193,08/25/2022 05:00:00 AM,64.934,5.244,,,,
194,08/25/2022 06:00:00 AM,64.949,5.347,,,,
195,08/25/2022 07:00:00 AM,64.957,5.552,,,,
196,08/25/2022 08:00:00 AM,64.938,5.655,,,,
197,08/25/2022 09:00:00 AM,64.917,5.962,,,,
198,08/25/2022 10:00:00 AM,64.906,5.962,,,,
199,08/25/2022 11:00:00 AM,64.858,6.166,,,,
200,08/25/2022 12:00:00 PM,64.940,6.268,,,,
201,08/25/2022 01:00:00 PM,64.914,6.166,,,,
202,08/25/2022 02:00:00 PM,64.961,5.962,,,,
203,08/25/2022 03:00:00 PM,64.987,5.757,,,,
204,08/25/2022 04:00:00 PM,65.039,5.655,,,,
205,08/25/2022 05:00:00 PM,65.042,5.450,,,,
206,08/25/2022 06:00:00 PM,65.023,5.244,,,,
207,08/25/2022 07:00:00 PM,65.029,4.831,,,,
208,08/25/2022 08:00:00 PM,64.935,4.727,,,,
209,08/25/2022 09:00:00 PM,64.979,4.415,,,,
210,08/25/2022 10:00:00 PM,64.930,4.311,,,,
211,08/25/2022 11:00:00 PM,64.899,4.102,,,,
212,08/26/2022 12:00:00 AM,64.873,3.998,,,,
213,08/26/2022 01:00:00 AM,64.831,3.788,,,,
214,08/26/2022 02:00:00 AM,64.878,3.578,,,,
215,08/26/2022 03:00:00 AM,64.889,3.578,,,,
216,08/26/2022 04:00:00 AM,64.900,3.578,,,,
217,08/26/2022 05:00:00 AM,64.916,3.683,,,,
218,08/26/2022 06:00:00 AM,64.937,4.207,,,,
219,08/26/2022 07:00:00 AM,64.952,5.141,,,,
220,08/26/2022 08:00:00 AM,64.932,6.064,,,,
221,08/26/2022 09:00:00 AM,64.910,6.064,,,,
222,08/26/2022 10:00:00 AM,64.910,6.064,,,,
223,08/26/2022 11:00:00 AM,64.893,7.079,,,,
224,08/26/2022 12:00:00 PM,64.919,6.877,,,,
225,08/26/2022 01:00:00 PM,65.026,6.775,,,,
226,08/26/2022 02:00:00 PM,65.055,6.370,,,,
227,08/26/2022 03:00:00 PM,65.087,5.757,,,,
228,08/26/2022 04:00:00 PM,65.078,5.244,,,,
229,08/26/2022 05:00:00 PM,65.102,4.727,,,,
230,08/26/2022 06:00:00 PM,65.112,4.415,,,,
231,08/26/2022 07:00:00 PM,65.104,4.207,,,,
232,08/26/2022 08:00:00 PM,65.127,3.683,,,,
233,08/26/2022 09:00:00 PM,65.081,3.367,,,,
234,08/26/2022 10:00:00 PM,65.025,3.367,,,,
235,08/26/2022 11:00:00 PM,64.999,2.730,,,,
236,08/27/2022 12:00:00 AM,64.999,2.195,,,,
237,08/27/2022 01:00:00 AM,65.008,1.872,,,,
238,08/27/2022 02:00:00 AM,65.008,1.330,,,,
239,08/27/2022 03:00:00 AM,65.038,1.003,,,,
240,08/27/2022 04:00:00 AM,65.033,0.893,,,,
241,08/27/2022 05:00:00 AM,65.041,1.330,,,,
242,08/27/2022 06:00:00 AM,65.043,1.656,,,,
243,08/27/2022 07:00:00 AM,65.026,2.303,,,,
244,08/27/2022 08:00:00 AM,64.995,3.155,,,,
245,08/27/2022 09:00:00 AM,64.983,4.519,,,,
246,08/27/2022 10:00:00 AM,64.990,5.552,,,,
247,08/27/2022 11:00:00 AM,64.967,6.674,,,,
248,08/27/2022 12:00:00 PM,64.953,7.782,,,,
249,08/27/2022 01:00:00 PM,65.052,12.497,,,,
250,08/27/2022 02:00:00 PM,65.026,10.748,,,,
251,08/27/2022 03:00:00 PM,65.061,10.161,,,,
252,08/27/2022 04:00:00 PM,65.112,9.077,,,,
253,08/27/2022 05:00:00 PM,65.153,8.082,,,,
254,08/27/2022 06:00:00 PM,65.164,7.481,,,,
255,08/27/2022 07:00:00 PM,65.149,6.775,,,,
256,08/27/2022 08:00:00 PM,65.148,6.166,,,,
257,08/27/2022 09:00:00 PM,65.113,5.552,,,,
258,08/27/2022 10:00:00 PM,65.070,5.037,,,,
259,08/27/2022 11:00:00 PM,65.050,4.519,,,,
260,08/28/2022 12:00:00 AM,65.055,4.102,,,,
261,08/28/2022 01:00:00 AM,65.027,3.683,,,,
262,08/28/2022 02:00:00 AM,65.021,3.261,,,,
263,08/28/2022 03:00:00 AM,65.030,2.943,,,,
264,08/28/2022 04:00:00 AM,65.053,2.943,,,,
265,08/28/2022 05:00:00 AM,65.070,3.367,,,,
266,08/28/2022 06:00:00 AM,65.058,3.893,,,,
267,08/28/2022 07:00:00 AM,65.069,4.727,,,,
268,08/28/2022 08:00:00 AM,65.015,5.347,,,,
269,08/28/2022 09:00:00 AM,64.999,6.370,,,,
270,08/28/2022 10:00:00 AM,65.012,7.882,,,,
271,08/28/2022 11:00:00 AM,64.967,8.779,,,,
272,08/28/2022 12:00:00 PM,64.988,9.669,,,,
273,08/28/2022 01:00:00 PM,65.098,14.230,,,,
274,08/28/2022 02:00:00 PM,65.056,11.625,,,,
275,08/28/2022 03:00:00 PM,65.083,10.455,,,,
276,08/28/2022 04:00:00 PM,65.125,9.768,,,,
277,08/28/2022 05:00:00 PM,65.160,8.879,,,,
278,08/28/2022 06:00:00 PM,65.164,8.382,,,,
279,08/28/2022 07:00:00 PM,65.146,7.582,,,,
280,08/28/2022 08:00:00 PM,65.137,6.775,,,,
281,08/28/2022 09:00:00 PM,65.129,6.268,,,,
282,08/28/2022 10:00:00 PM,65.109,5.757,,,,
283,08/28/2022 11:00:00 PM,65.116,5.347,,,,
284,08/29/2022 12:00:00 AM,65.092,5.037,,,,
285,08/29/2022 01:00:00 AM,65.095,4.831,,,,
286,08/29/2022 02:00:00 AM,65.083,4.519,,,,
287,08/29/2022 03:00:00 AM,65.126,4.207,,,,
288,08/29/2022 04:00:00 AM,65.112,4.415,,,,
289,08/29/2022 05:00:00 AM,65.098,4.623,,,,
290,08/29/2022 06:00:00 AM,65.108,5.141,,,,
291,08/29/2022 07:00:00 AM,65.121,5.757,,,,
292,08/29/2022 08:00:00 AM,65.111,6.370,,,,
293,08/29/2022 09:00:00 AM,65.086,7.179,,,,
294,08/29/2022 10:00:00 AM,65.023,7.280,,,,
295,08/29/2022 11:00:00 AM,65.136,6.166,,,,
296,08/29/2022 12:00:00 PM,65.136,4.727,,,,
297,08/29/2022 01:00:00 PM,65.176,4.623,,,,
298,08/29/2022 02:00:00 PM,65.190,5.244,,,,
299,08/29/2022 03:00:00 PM,65.217,5.655,,,,
300,08/29/2022 04:00:00 PM,65.291,5.552,,,,
301,08/29/2022 05:00:00 PM,65.326,5.037,,,,
302,08/29/2022 06:00:00 PM,65.314,4.727,,,,
303,08/29/2022 07:00:00 PM,65.290,4.415,,,,
304,08/29/2022 08:00:00 PM,65.285,3.998,,,,
305,08/29/2022 09:00:00 PM,65.256,3.578,,,,
306,08/29/2022 10:00:00 PM,65.184,3.155,,,,
307,08/29/2022 11:00:00 PM,65.193,2.837,,,,
308,08/30/2022 12:00:00 AM,65.157,2.517,,,,
309,08/30/2022 01:00:00 AM,65.182,2.303,,,,
310,08/30/2022 02:00:00 AM,65.191,1.980,,,,
311,08/30/2022 03:00:00 AM,65.215,1.764,,,,
312,08/30/2022 04:00:00 AM,65.230,1.872,,,,
313,08/30/2022 05:00:00 AM,65.244,2.195,,,,
314,08/30/2022 06:00:00 AM,65.259,2.837,,,,
315,08/30/2022 07:00:00 AM,65.262,3.998,,,,
316,08/30/2022 08:00:00 AM,65.245,5.244,,,,
317,08/30/2022 09:00:00 AM,65.233,6.064,,,,
318,08/30/2022 10:00:00 AM,65.200,6.370,,,,
319,08/30/2022 11:00:00 AM,65.160,7.079,,,,
320,08/30/2022 12:00:00 PM,65.138,7.682,,,,
321,08/30/2022 01:00:00 PM,65.261,7.682,,,,
322,08/30/2022 02:00:00 PM,65.305,7.079,,,,
323,08/30/2022 03:00:00 PM,65.345,6.370,,,,
324,08/30/2022 04:00:00 PM,65.388,5.757,,,,
325,08/30/2022 05:00:00 PM,65.413,5.552,,,,
326,08/30/2022 06:00:00 PM,65.397,5.141,,,,
327,08/30/2022 07:00:00 PM,65.328,4.519,,,,
328,08/30/2022 08:00:00 PM,65.329,3.998,,,,
329,08/30/2022 09:00:00 PM,65.301,3.578,,,,
330,08/30/2022 10:00:00 PM,65.255,3.261,,,,
331,08/30/2022 11:00:00 PM,65.248,2.837,,,,
332,08/31/2022 12:00:00 AM,65.213,2.517,,,,
333,08/31/2022 01:00:00 AM,65.200,2.195,,,,
334,08/31/2022 02:00:00 AM,65.213,1.980,,,,
335,08/31/2022 03:00:00 AM,65.191,1.980,,,,
336,08/31/2022 04:00:00 AM,65.179,1.980,,,,
337,08/31/2022 05:00:00 AM,65.180,2.517,,,,
338,08/31/2022 06:00:00 AM,65.206,3.155,,,,
339,08/31/2022 07:00:00 AM,65.184,3.998,,,,
340,08/31/2022 08:00:00 AM,65.181,5.037,,,,
341,08/31/2022 09:00:00 AM,65.161,5.655,,,,
342,08/31/2022 10:00:00 AM,65.145,6.674,,,,
343,08/31/2022 11:00:00 AM,65.119,7.179,,,,
344,08/31/2022 12:00:00 PM,65.138,7.381,,,,
345,08/31/2022 01:00:00 PM,65.251,11.431,,,,
346,08/31/2022 02:00:00 PM,65.250,10.455,,,,
347,08/31/2022 03:00:00 PM,65.271,9.176,,,,
348,08/31/2022 04:00:00 PM,65.313,8.182,,,,
349,08/31/2022 05:00:00 PM,65.346,7.280,,,,
350,08/31/2022 06:00:00 PM,65.337,6.166,,,,
351,08/31/2022 07:00:00 PM,65.309,5.450,,,,
352,08/31/2022 08:00:00 PM,65.296,4.831,,,,
353,08/31/2022 09:00:00 PM,65.271,4.207,,,,
354,08/31/2022 10:00:00 PM,65.234,3.578,,,,
355,08/31/2022 11:00:00 PM,65.217,3.155,,,,
356,09/01/2022 12:00:00 AM,65.222,2.730,,,,
357,09/01/2022 01:00:00 AM,65.208,2.410,,,,
358,09/01/2022 02:00:00 AM,65.206,2.088,,,,
359,09/01/2022 03:00:00 AM,65.248,1.764,,,,
360,09/01/2022 04:00:00 AM,65.237,1.764,,,,
361,09/01/2022 05:00:00 AM,65.260,2.303,,,,
362,09/01/2022 06:00:00 AM,65.273,3.155,,,,
363,09/01/2022 07:00:00 AM,65.278,4.102,,,,
364,09/01/2022 08:00:00 AM,65.256,5.244,,,,
365,09/01/2022 09:00:00 AM,65.237,6.166,,,,
366,09/01/2022 10:00:00 AM,65.250,7.381,,,,
367,09/01/2022 11:00:00 AM,65.201,7.882,,,,
368,09/01/2022 12:00:00 PM,65.294,7.682,,,,
369,09/01/2022 01:00:00 PM,65.313,8.182,,,,
370,09/01/2022 02:00:00 PM,65.339,8.282,,,,
371,09/01/2022 03:00:00 PM,65.395,8.282,,,,
372,09/01/2022 04:00:00 PM,65.420,7.481,,,,
373,09/01/2022 05:00:00 PM,65.483,6.775,,,,
374,09/01/2022 06:00:00 PM,65.463,5.962,,,,
375,09/01/2022 07:00:00 PM,65.461,5.347,,,,
376,09/01/2022 08:00:00 PM,65.451,4.831,,,,
377,09/01/2022 09:00:00 PM,65.446,4.415,,,,
378,09/01/2022 10:00:00 PM,65.387,3.788,,,,
379,09/01/2022 11:00:00 PM,65.404,3.367,,,,
380,09/02/2022 12:00:00 AM,65.375,2.943,,,,
381,09/02/2022 01:00:00 AM,65.384,2.624,,,,
382,09/02/2022 02:00:00 AM,65.386,2.410,,,,
383,09/02/2022 03:00:00 AM,65.428,2.088,,,,
384,09/02/2022 04:00:00 AM,65.433,2.195,,,,
385,09/02/2022 05:00:00 AM,65.444,2.730,,,,
386,09/02/2022 06:00:00 AM,65.475,3.472,,,,
387,09/02/2022 07:00:00 AM,65.477,4.623,,,,
388,09/02/2022 08:00:00 AM,65.466,5.757,,,,
389,09/02/2022 09:00:00 AM,65.446,6.978,,,,
390,09/02/2022 10:00:00 AM,65.458,8.182,,,,
391,09/02/2022 11:00:00 AM,65.401,9.373,,,,
392,09/02/2022 12:00:00 PM,65.452,9.866,,,,
393,09/02/2022 01:00:00 PM,65.468,9.373,,,,
394,09/02/2022 02:00:00 PM,65.524,9.373,,,,
395,09/02/2022 03:00:00 PM,65.560,9.768,,,,
396,09/02/2022 04:00:00 PM,65.576,8.978,,,,
397,09/02/2022 05:00:00 PM,65.614,8.182,,,,
398,09/02/2022 06:00:00 PM,65.584,7.381,,,,
399,09/02/2022 07:00:00 PM,65.575,6.573,,,,
400,09/02/2022 08:00:00 PM,65.544,5.757,,,,
401,09/02/2022 09:00:00 PM,65.550,5.347,,,,
402,09/02/2022 10:00:00 PM,65.514,4.727,,,,
403,09/02/2022 11:00:00 PM,65.482,4.207,,,,
404,09/03/2022 12:00:00 AM,65.488,3.788,,,,
405,09/03/2022 01:00:00 AM,65.464,3.472,,,,
406,09/03/2022 02:00:00 AM,65.488,3.261,,,,
407,09/03/2022 03:00:00 AM,65.502,3.049,,,,
408,09/03/2022 04:00:00 AM,65.497,2.943,,,,
409,09/03/2022 05:00:00 AM,65.505,3.683,,,,
410,09/03/2022 06:00:00 AM,65.528,4.519,,,,
411,09/03/2022 07:00:00 AM,65.495,5.655,,,,
412,09/03/2022 08:00:00 AM,65.498,6.877,,,,
413,09/03/2022 09:00:00 AM,65.469,8.182,,,,
414,09/03/2022 10:00:00 AM,65.457,9.373,,,,
415,09/03/2022 11:00:00 AM,65.418,10.161,,,,
416,09/03/2022 12:00:00 PM,65.404,11.041,,,,
417,09/03/2022 01:00:00 PM,65.473,15.473,,,,
418,09/03/2022 02:00:00 PM,65.470,14.325,,,,
419,09/03/2022 03:00:00 PM,65.475,13.461,,,,
420,09/03/2022 04:00:00 PM,65.486,12.110,,,,
421,09/03/2022 05:00:00 PM,65.490,10.944,,,,
422,09/03/2022 06:00:00 PM,65.460,9.768,,,,
423,09/03/2022 07:00:00 PM,65.454,8.978,,,,
424,09/03/2022 08:00:00 PM,65.402,8.182,,,,
425,09/03/2022 09:00:00 PM,65.406,7.682,,,,
426,09/03/2022 10:00:00 PM,65.379,6.978,,,,
427,09/03/2022 11:00:00 PM,65.360,6.471,,,,
428,09/04/2022 12:00:00 AM,65.334,6.370,,,,
429,09/04/2022 01:00:00 AM,65.318,5.962,,,,
430,09/04/2022 02:00:00 AM,65.316,5.347,,,,
431,09/04/2022 03:00:00 AM,65.322,4.934,,,,
432,09/04/2022 04:00:00 AM,65.322,4.934,,,,
433,09/04/2022 05:00:00 AM,65.305,5.347,,,,
434,09/04/2022 06:00:00 AM,65.322,6.064,,,,
435,09/04/2022 07:00:00 AM,65.328,7.381,,,,
436,09/04/2022 08:00:00 AM,65.276,8.680,,,,
437,09/04/2022 09:00:00 AM,65.237,9.768,,,,
438,09/04/2022 10:00:00 AM,65.216,10.748,,,,
439,09/04/2022 11:00:00 AM,65.149,11.722,,,,
440,09/04/2022 12:00:00 PM,65.126,12.690,,,,
441,09/04/2022 01:00:00 PM,65.139,13.076,,,,
442,09/04/2022 02:00:00 PM,65.206,11.431,,,,
443,09/04/2022 03:00:00 PM,65.240,9.866,,,,
444,09/04/2022 04:00:00 PM,65.294,8.879,,,,
445,09/04/2022 05:00:00 PM,65.320,7.782,,,,
446,09/04/2022 06:00:00 PM,65.287,7.782,,,,
447,09/04/2022 07:00:00 PM,65.275,7.179,,,,
448,09/04/2022 08:00:00 PM,65.242,7.179,,,,
449,09/04/2022 09:00:00 PM,65.212,6.978,,,,
450,09/04/2022 10:00:00 PM,65.160,6.775,,,,
451,09/04/2022 11:00:00 PM,65.159,6.471,,,,
452,09/05/2022 12:00:00 AM,65.121,6.064,,,,
453,09/05/2022 01:00:00 AM,65.105,5.655,,,,
454,09/05/2022 02:00:00 AM,65.134,5.244,,,,
